id;name;email_address;review_date;over_all_seller_rating;over_all_seller_review;over_all_delivery_rating;over_all_delivery_review;review_as_anonymous;completed_review;last_edited_by;last_edited_when
1;concept Clothing;"W:-k@GHH(+.$6o9";2019-12-12T20:32:52;55171;../fake-data/blob/hipster.txt;8201;../fake-data/blob/hipster.txt;false;false;Yemeni Rial function;2019-12-12T20:50:31
2;Bike;"K*B)vf@8.xo";2019-12-12T22:34:22;7662;../fake-data/blob/hipster.txt;70929;../fake-data/blob/hipster.txt;true;false;supply-chains;2019-12-12T08:53:45
3;synergistic;"ng@4n^C+.*&B)]";2019-12-12T13:30:52;5227;../fake-data/blob/hipster.txt;46261;../fake-data/blob/hipster.txt;true;true;Tala;2019-12-12T23:06:40
4;calculating e-services;"/@$&D4.)$";2019-12-13T00:28:38;26752;../fake-data/blob/hipster.txt;17851;../fake-data/blob/hipster.txt;true;false;Rustic;2019-12-12T22:48:47
5;Intranet;"hJS,_3@iB^RK..bCxuL";2019-12-13T00:27:47;26974;../fake-data/blob/hipster.txt;91469;../fake-data/blob/hipster.txt;true;false;Ways Gorgeous Soft Chicken;2019-12-12T14:50:35
6;yellow;",#RWE@$tBh.eL!";2019-12-12T03:31:47;83716;../fake-data/blob/hipster.txt;80227;../fake-data/blob/hipster.txt;true;true;Buckinghamshire array;2019-12-12T23:53:10
7;multi-tasking aggregate;"_@+^jx..W";2019-12-12T12:37:24;10233;../fake-data/blob/hipster.txt;63835;../fake-data/blob/hipster.txt;false;true;Metal synthesizing Democratic People's Republic of Korea;2019-12-12T16:12:18
8;Executive circuit;"`@~V+x.+s+x\<";2019-12-12T23:28:54;9524;../fake-data/blob/hipster.txt;51226;../fake-data/blob/hipster.txt;false;false;Personal Loan Account Directives;2019-12-12T13:36:08
9;Chile Handmade Steel Hat magenta;"liWN[@)&SbD.G";2019-12-12T09:37:18;72333;../fake-data/blob/hipster.txt;99561;../fake-data/blob/hipster.txt;false;true;Avon Product Computers;2019-12-12T09:59:55
10;AGP Sleek Cotton Shirt;"t@N.8~Q2";2019-12-13T02:10:27;64954;../fake-data/blob/hipster.txt;14218;../fake-data/blob/hipster.txt;false;false;Money Market Account Fantastic Fresh Keyboard;2019-12-12T15:13:48
